B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDBI,MNDWI,BSI,entropy,lc,random_split
0.0149,0.0368,0.064,0.0597,0.107,0.2271,0.2708,0.2836,0.2916,0.2844,0.2007,0.1428,0.65219927,-0.18464349,-0.51643366,-0.10330579,3.453840836919592,0,0.9995087891102494
0.064,0.05595,0.0848,0.092,0.09995,0.12605,0.14585,0.1789,0.1798,0.1807,0.1915,0.148,0.32078257,0.03151088,-0.38617444,0.093855485,3.5773076784568323,0,0.9994422472989776
0.03615,0.03845,0.0542,0.0613,0.08995,0.1702,0.20035,0.2045,0.21905,0.2184,0.15685,0.098,0.53875095,-0.16546957,-0.48637763,-0.053784452,3.464671261615841,0,0.999440260266369
0.04251346,0.08801379,0.11899615,0.1424,0.15789285,0.20112273,0.22488572,0.25962666,0.24404,0.20777813,0.25554,0.20127334,0.29158926,0.023019368,-0.3645679,0.06746363,3.5773076784568323,0,0.9990891848104804
0.0312,0.0397,0.0738,0.0663,0.1106,0.2331,0.2716,0.2886,0.2934,0.2693,0.1835,0.1114,0.62637365,-0.2304466,-0.4263506,-0.13578965,3.4646712616158406,0,0.9990702788828256
0.0379,0.06015,0.073133335,0.08295,0.1085,0.17758334,0.2066,0.22166666,0.22255,0.20953333,0.175125,0.13205,0.45538107,-0.11925568,-0.41082877,-0.043974858,3.4646712616158406,0,0.9990541449894008
0.18226667,0.15473333,0.1768,0.1944,0.1768,0.20286667,0.22123334,0.2334,0.227675,0.27535,0.22825,0.20528,0.091164105,0.0012611528,-0.12702136,0.04257199,3.3953565435598465,0,0.998993305701375
0.033736844,0.036988236,0.064166665,0.056975,0.11952,0.23971666,0.27976,0.29933333,0.3029625,0.31737,0.178,0.11513636,0.6801927,-0.25981757,-0.47006196,-0.17739747,3.4646712616158406,0,0.9988152513203532
0.0448,0.0815,0.10585,0.10425,0.1226,0.2298,0.27785,0.3168,0.3017,0.30685,0.18995,0.1309,0.5048094,-0.22729583,-0.2843137,-0.15032491,3.4646712616158406,0,0.9988036008537868
0.0187,0.0236,0.0397,0.0336,0.0766,0.1895,0.227,0.2232,0.2512,0.261,0.1207,0.0578,0.7383178,-0.35090077,-0.50498754,-0.2306158,3.4538408369195914,0,0.998778544441809
0.0173,0.0263,0.0407,0.0354,0.0701,0.179,0.2271,0.2312,0.2435,0.2403,0.1498,0.079,0.7344336,-0.23824051,-0.5727034,-0.163316,3.464671261615841,0,0.9987651850350976
0.06125,0.03975,0.07745,0.0673,0.13155,0.28535,0.3254,0.3826,0.37695,0.38075,0.2411,0.1506,0.7008224,-0.21980423,-0.5137341,-0.15593569,3.5773076784568323,0,0.9986175697617709
0.03541579,0.034466665,0.05622,0.057,0.1045,0.229875,0.267525,0.25546667,0.2913,0.2924,0.14653334,0.087075,0.6351611,-0.3306433,-0.44543454,-0.1750878,3.4430104122233427,0,0.9984746658740824
0.06774,0.07705,0.0993,0.1078,0.145175,0.21775,0.24673334,0.2532,0.26475,0.2932,0.1788,0.1499,0.40277007,-0.19377749,-0.2858684,-0.07076274,3.4343460724663437,0,0.9982966668122164
0.050411113,0.050389286,0.06545185,0.07365357,0.10473077,0.15875334,0.1897375,0.2225375,0.20738333,0.21389286,0.18395,0.1319,0.50266176,-0.059880733,-0.4751294,-0.028882815,3.5773076784568323,0,0.9981433898403268
0.03755,0.0355,0.0628,0.0617,0.1045,0.2053,0.24535,0.2442,0.26145,0.2601,0.178,0.12675,0.5966002,-0.18989643,-0.47840533,-0.07701194,3.4646712616158406,0,0.9976182688180736
0.0669,0.064,0.0894,0.0959,0.1262,0.16745,0.1883,0.2123,0.20265,0.26905,0.203,0.1379,0.37767684,0.000862809,-0.3885089,0.03929066,3.5773076784568323,0,0.9975144082683652
0.0912,0.16286667,0.18053333,0.18866667,0.1975625,0.2404,0.2594,0.27533334,0.2677182,0.26909092,0.244,0.20531428,0.18678162,-0.046350107,-0.1494975,-0.0063538286,3.453840836919592,0,0.997391115689947
0.0483875,0.05202,0.073925,0.07975,0.1247625,0.190275,0.2231,0.2347,0.23653333,0.23506667,0.21445,0.1613,0.49276513,-0.04896706,-0.4872995,0.012876146,3.3953565435598465,0,0.9970133721082832
0.0403,0.05795,0.0806,0.082,0.1215,0.21945,0.24975,0.22806667,0.2616,0.24846,0.163475,0.105775,0.47108147,-0.23084158,-0.33954728,-0.076279014,3.5773076784568323,0,0.9968201272652504
0.0547,0.0336,0.0619,0.0877,0.1364,0.26095,0.3049,0.293,0.32125,0.26995,0.2255,0.1695,0.53926975,-0.17512572,-0.56924146,-0.020944055,3.464671261615841,0,0.9968152102870076
0.05595,0.0580725,0.08022,0.09237273,0.1276,0.1832875,0.21092667,0.21326667,0.23048334,0.23112728,0.220675,0.17193,0.39554435,-0.02174033,-0.46679077,0.071371496,3.4646712616158406,0,0.9966562020101062
