B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,entropy,lc,random_split
0.06815,0.0396,0.05145,0.0561,0.09,0.1536,0.17975,0.1716,0.20105,0.21485,0.17925,0.1212,0.5072464,3.4603390917373416,0,0.263189153618769
0.03485,0.0399,0.0547,0.0475,0.0782,0.1648,0.17895,0.2011,0.19555,0.2027,0.1437,0.09615,0.61786,3.5686433386998333,0,0.205573494956501
0.04415,0.0384,0.05275,0.05535,0.09885,0.1757,0.1926,0.1849,0.1993,0.2009,0.14785,0.1098,0.53923,3.417017392952345,0,0.1675447516480463
0.03485,0.037,0.052,0.0435,0.0782,0.1648,0.17895,0.1839,0.19555,0.2027,0.1437,0.09615,0.61741424,3.4906642808868384,0,0.7884146269473444
0.0408,0.0408,0.0556,0.0536,0.0823,0.1354,0.149,0.167,0.166,0.1685,0.2072,0.1436,0.51405257,3.5686433386998333,0,0.1455319136348744
0.03485,0.03465,0.0444,0.04115,0.0717,0.1406,0.15725,0.166,0.1718,0.2027,0.1284,0.086,0.60270333,3.4430104122233423,0,0.3973739900843716
0.0944,0.09685,0.1356,0.1471,0.1986,0.25025,0.26335,0.2586,0.26035,0.25615,0.2409,0.20965,0.27483362,3.4646712616158406,0,0.1270008855861383
0.06815,0.0249,0.03505,0.03355,0.09,0.1536,0.17975,0.148,0.20105,0.21485,0.17925,0.1212,0.63040483,3.4603390917373416,0,0.5957911212595762
0.0331,0.03855,0.0571,0.0618,0.09995,0.1922,0.2192,0.2282,0.22925,0.23955,0.19045,0.13455,0.5737931,3.559978998942833,0,0.1475078093277633
0.0331,0.0368,0.0531,0.0557,0.0921,0.18825,0.21255,0.2246,0.23795,0.23955,0.18075,0.1203,0.6025687,3.5686433386998333,0,0.5867782612092275
0.042,0.03255,0.05115,0.0379,0.12505,0.1528,0.1614,0.1048,0.14305,0.15465,0.1129,0.09145,0.46881568,3.5773076784568323,0,0.2431969765288375
0.04415,0.0378,0.0561,0.0546,0.09885,0.1757,0.1926,0.2247,0.1993,0.2009,0.14785,0.1098,0.60902256,3.434346072466343,0,0.097613929222699
0.06815,0.03245,0.04255,0.04365,0.0916,0.17155,0.1963,0.1504,0.2073,0.21485,0.18635,0.11975,0.55011594,3.4603390917373416,0,0.6865501762273072
0.0331,0.0373,0.05575,0.056,0.08865,0.18955,0.209,0.2332,0.2374,0.23955,0.18485,0.12085,0.6127247,3.5686433386998333,0,0.4769732592289177
0.04415,0.03825,0.05775,0.05555,0.09885,0.1757,0.1926,0.2125,0.1993,0.2009,0.14785,0.1098,0.5855251,3.4473425821018417,0,0.4273085108114519
0.034,0.03265,0.05,0.04765,0.09145,0.1883,0.2143,0.1958,0.22705,0.2408,0.15395,0.10105,0.6085439,3.4646712616158406,0,0.1310043329197787
0.0331,0.03805,0.0538,0.05155,0.08865,0.18955,0.209,0.2202,0.2374,0.23955,0.18485,0.12085,0.6206072,3.4646712616158406,0,0.2860720626603571
