B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.0396,0.05145,0.0561,0.09,0.1536,0.17975,0.1716,0.21485,0.17925,0.5072464,0,0.263189153618769,0.021804189824711388
0.0399,0.0547,0.0475,0.0782,0.1648,0.17895,0.2011,0.2027,0.1437,0.61786,0,0.205573494956501,-0.16647331786542927
0.0384,0.05275,0.05535,0.09885,0.1757,0.1926,0.1849,0.2009,0.14785,0.53923,0,0.1675447516480463,-0.11134485349361382
0.037,0.052,0.0435,0.0782,0.1648,0.17895,0.1839,0.2027,0.1437,0.61741424,0,0.7884146269473444,-0.12271062271062275
0.0408,0.0556,0.0536,0.0823,0.1354,0.149,0.167,0.1685,0.2072,0.51405257,0,0.1455319136348744,0.10742918225547832
0.03465,0.0444,0.04115,0.0717,0.1406,0.15725,0.166,0.2027,0.1284,0.60270333,0,0.3973739900843716,-0.1277173913043479
0.09685,0.1356,0.1471,0.1986,0.25025,0.26335,0.2586,0.25615,0.2409,0.27483362,0,0.1270008855861383,-0.035435435435435425
0.0249,0.03505,0.03355,0.09,0.1536,0.17975,0.148,0.21485,0.17925,0.63040483,0,0.5957911212595762,0.09549274255156609
0.03855,0.0571,0.0618,0.09995,0.1922,0.2192,0.2282,0.23955,0.19045,0.5737931,0,0.1475078093277633,-0.0901707870536247
0.0368,0.0531,0.0557,0.0921,0.18825,0.21255,0.2246,0.23955,0.18075,0.6025687,0,0.5867782612092275,-0.1081781176760824
0.03255,0.05115,0.0379,0.12505,0.1528,0.1614,0.1048,0.15465,0.1129,0.46881568,0,0.2431969765288375,0.03720716582452915
0.0378,0.0561,0.0546,0.09885,0.1757,0.1926,0.2247,0.2009,0.14785,0.60902256,0,0.097613929222699,-0.20628103610253656
0.03245,0.04255,0.04365,0.0916,0.17155,0.1963,0.1504,0.21485,0.18635,0.55011594,0,0.6865501762273072,0.10675575352635482
0.0373,0.05575,0.056,0.08865,0.18955,0.209,0.2332,0.23955,0.18485,0.6127247,0,0.4769732592289177,-0.11565602200693699
0.03825,0.05775,0.05555,0.09885,0.1757,0.1926,0.2125,0.2009,0.14785,0.5855251,0,0.4273085108114519,-0.17940890800610512
0.03265,0.05,0.04765,0.09145,0.1883,0.2143,0.1958,0.2408,0.15395,0.6085439,0,0.1310043329197787,-0.11965689778413152
0.03805,0.0538,0.05155,0.08865,0.18955,0.209,0.2202,0.23955,0.18485,0.6206072,0,0.2860720626603571,-0.08727317615109251
0.0434,0.0546,0.0547,0.0778,0.1274,0.1397,0.1554,0.1691,0.1925,0.47929558,0,0.7981710505752201,0.10663983903420522
0.0314,0.05075,0.0324,0.10595,0.11575,0.1182,0.0963,0.15465,0.07535,0.49650347,0,0.7772128777564902,-0.12205068453247886
0.03085,0.0426,0.0403,0.0749,0.16455,0.18105,0.1613,0.2027,0.13115,0.6001984,0,0.5933739297233004,-0.10309454607625239
0.03615,0.05025,0.0445,0.07285,0.1549,0.175,0.1814,0.2027,0.1333,0.60602033,0,0.616238612834466,-0.1528439783921195
0.0555,0.0735,0.0805,0.14245,0.1882,0.2067,0.2282,0.21485,0.2069,0.47845805,0,0.088611453781464,-0.048954263387726925
0.03085,0.0426,0.0403,0.0749,0.16455,0.18105,0.1613,0.2027,0.13115,0.6001984,0,0.7587219782483033,-0.10309454607625239
0.043,0.05925,0.06065,0.08865,0.16195,0.18195,0.2006,0.2009,0.1465,0.53569376,0,0.4474532936500892,-0.15586286372803232
0.0338,0.04645,0.04085,0.07285,0.1549,0.175,0.1681,0.2027,0.1333,0.6089974,0,0.485416032768755,-0.1154611811546118
0.03035,0.04475,0.04405,0.09,0.1536,0.17975,0.2211,0.21485,0.17925,0.6677352,0,0.6056466081390012,-0.10453353315848632
0.0349,0.0551,0.0462,0.08655,0.21275,0.2379,0.2464,0.25915,0.15855,0.68421054,0,0.239845545066854,-0.21694036300777875
